Tipo;Entidade;Número;Data;Sumário;Link;;
Lei;;9/79;1979/19/03;Relativa às bases do ensino particular e cooperativo;https://dre.pt/application/file/383287;;

Lei;;14/79;1979/16/05;Lei Eleitoral para a Assembleia da República;https://dre.pt/application/file/382556;;

Lei;;173/79;1979/06/06;Introduz alterações ao Decreto-Lei n.º 111/76, de 7 de Fevereiro, que criou cursos especiais para regentes escolares, professores eventuais e professores de posto;https://dre.pt/application/file/383475;;

Despacho;;42/80;1980/04/09;Concessão de subsídios concedidos aos Encarregados de educação de qualquer menor deficiente para reeducação pedagógica ;http://www.seg-social.pt/documents/10152/21553/Desp_42_80/b6558c89-9122-4520-8934-825645c5f2b6/b6558c89-9122-4520-8934-825645c5f2b6;;

Despacho;;57/SESS/93;1993/09/08;Ministério do Emprego e da Segurança Social - Secretário de Estado da Segurança Social;https://dre.pt/web/guest/pesquisa/-/search/3686560/details/normal?q=Despacho+57%2FSESS%2F93;;

DL;;267/80;1980/08/08;Lei Eleitoral para a Assembleia Regional dos Açores;https://dre.pt/application/file/470504;;

DL;;464/80;1980/13/10;Estabelece em novos moldes as condições de acesso e de atribuição da pensão social;https://dre.pt/application/file/462096;;

DL;;477/80;1980/15/10;Cria o inventário geral do património do Estado;https://dre.pt/application/file/a/462109;;

Decreto Regulamentar;;52/81;1981/11/11;Actualiza os valores das pensões de invalidez, velhice, sobrevivência e respectivos complementos e alarga o âmbito de aplicação de algumas das referidas prestações;https://dre.pt/application/file/568457;;

Decreto Regulamentar ;;14/81;1981/07/04;Estabelece disposições relativas à atribuição de um subsídio de educação especial, instituído pelo Decreto-Lei n.º 170/80, de 29 de Maio;https://dre.pt/application/file/389102;;

DL;;185/81;1981/01/07;Aprova o Estatuto da Carreira do Pessoal Docente do Ensino Superior Politécnico;https://dre.pt/application/file/578610;;

Lei;;37/81;1981/03/10;Lei da Nacionalidade;https://dre.pt/application/file/564082;;

Portaria;;968/81;1981/12/11;Autoriza a microfilmagem dos documentos que devem manter-se em arquivo no Instituto Nacional da Propriedade Industrial;https://dre.pt/application/file/568237;;

DL;;74/82;1982/03/03;Regulamenta o depósito legal;https://dre.pt/application/file/a/599842;;

DL;;143/82;1982/26/04;Atribui ao Instituto Geográfico e Cadastral a competência exclusiva para a elaboração e conservação de toda a cartografia básica para a construção da Carta Cadastral do País e dota-o dos instrumentos jurídicos indispensáveis à consecução de tais objectivos;https://dre.pt/application/file/606603;;

DL;;401/82;1982/23/09;Institui o regime aplicável em matéria penal aos jovens com idade compreendida entre os 16 e os 21 anos;https://dre.pt/application/file/319824;;

DL;;433/82;1982/27/10;Institui o ilícito de mera ordenação social e respectivo processo (contraordenações);https://dre.pt/application/file/376339;;

Lei;;28/82;1982/15/11;Organização, funcionamento e processo do Tribunal Constitucional;https://dre.pt/web/guest/legislacao-consolidada/-/lc/58743078/201709111529/exportPdf/normal/1/cacheLevelPage?_LegislacaoConsolidada_WAR_drefrontofficeportlet_rp=indice;;

Lei;;4/83;1983/02/04;Controlo público da riqueza dos titulares de cargos políticos;https://dre.pt/web/guest/legislacao-consolidada/-/lc/74901123/201704080224/exportPdf/normal/1/cacheLevelPage?_LegislacaoConsolidada_WAR_drefrontofficeportlet_rp=indice;;

Decreto do Governo;;33/83;1983/11/05;Aprova a Convenção sobre os Aspectos Civis do Rapto Internacional de Crianças;https://dre.pt/application/file/450717;;

Decreto do Governo;;79/83;1983/14/10;Aprova, para ratificação, a Convenção Internacional para a Salvaguarda da Vida Humana no Mar de 1974;https://dre.pt/application/file/a/294454;;

DL;;118/83;1983/25/02;Estabelece o funcionamento e o esquema de benefícios da Direcção-Geral de Proteção Social aos Funcionários e Agentes da Administração Pública (ADSE);https://dre.pt/application/file/311483;;

DL;;202/83;1983/19/05;Estabelece as bases a que deve obedecer o controle metrológico;https://dre.pt/application/file/a/451335;;

DL;;283/83;1983/21/06;Estabelece os termos em que pode ser requerida a equivalência de habilitações estrangeiras de nível superior às correspondentes habilitações portuguesas;https://dre.pt/application/file/452586;;

DL;;321/83;1983/05/07;Cria a Reserva Ecológica Nacional;https://dre.pt/application/file/453113;;

Circular;PGR;4/84;1984/18/05;Organização de processos administrativos nos Tribunais de Trabalho. Excepcionalidade da dispensa;http://www.ministeriopublico.pt/iframe/circulares;;

Lei;;26/84;1984/31/07;Regime de remuneração do Presidente da República;https://dre.pt/application/conteudo/381746;;

DL;;224/84;1984/06/07;Aprova o Código do Registo Predial;https://dre.pt/application/file/591243;;

DL;;394-B/84;1984/26/12;Código do Imposto sobre o Valor Acrescentado (IVA);https://dre.pt/application/file/605467;;

Lei;;30/84;1984/05/09;Lei Quadro do Sistema de Informações da República Portuguesa;https://dre.pt/application/file/373729;;

Lei;;4/85;1985/09/04;Estatuto remuneratório dos titulares de cargos políticos;https://dre.pt/application/conteudo/325545;;

Decreto Legislativo Regional ;;14/85/M;1985/28/06;Adapta à Região Autónoma da Madeira a Lei n.º 4/85, de 9 de Abril, que aprovou o estatuto remuneratório dos titulares de cargos políticos;https://dre.pt/application/conteudo/182057;;

Lei;;21/85;1985/30/07;Estatuto dos Magistrados Judiciais;https://dre.pt/application/file/393565;;

Lei;;45/85;1985/17/09;Alteração do Decreto-Lei n.º 63/85, de 14 de Março, e do Código do Direito de Autor e dos Direitos Conexos;https://dre.pt/application/file/a/177503;;

DL;;63/85;1985/14/03;Aprova o Código do Direito de Autor e dos Direitos Conexos;https://dre.pt/application/file/327000;;

DL;;114/85;1985/18/04;Estabelece normas sobre o pagamento das quotizações em dívida pelos contribuintes do Fundo de Desemprego;https://dre.pt/application/conteudo/324320;;

DL;;334/85;1985/20/08;Estabelece os limites a que fica sujeita a acumulação da subvenção mensal vitalícia com pensão de aposentação ou de reforma previstas no artigo 27.º da Lei n.º 4/85, de 9 de Abril (Estatuto Remuneratório dos Titulares dos Cargos Políticos);https://dre.pt/application/conteudo/180979;;

DL;;344/85;1985/20/08;Estabelece os limites a que fica sujeita a acumulação da subvenção mensal vitalícia com pensão de aposentação ou de reforma previstas no artigo 27.º da Lei n.º 4/85, de 9 de Abril (Estatuto Remuneratório dos Titulares dos Cargos Políticos);https://dre.pt/application/conteudo/180979;;

DL;;446/85;1985/05/11;Altera a fórmula de cálculo de algumas pensões por acidentes de trabalho fixadas anteriormente a 1-10-1979, concede o subsídio de Natal aos pensionistas e aclara o esquema de remição de pensões;https://dre.pt/application/file/171621;;

DL;;48/86;1986/13/03;Define um quadro legal que regule o relacionamento institucional das escolas militares de ensino superior com os estabelecimentos que integram o sistema universitário português;https://dre.pt/application/file/196824;;

DL;;172-B/86;1986/30/06;Autoriza a emissão de uma nova série de certificados de aforro, denominada «série B», cuja administração fica a cargo da Junta do Crédito Público;https://dre.pt/application/file/518746;;

DL;;243/86;1986/20/08;Aprova o Regulamento Geral de Higiene e Segurança do Trabalho nos Estabelecimentos Comerciais, de Escritório e Serviços;https://dre.pt/application/file/219029;;

DL;;262/86;1986/02/09;Aprova o Código das Sociedades Comerciais;https://dre.pt/application/file/220055;;

DL;;362/86;1986/28/10;Determina a obrigação do depósito legal na Biblioteca Nacional de um exemplar das teses de doutoramento e mestrado, bem como das dissertações destinadas às provas de aptidão científica e pedagógica das carreiras docentes do ensino superior politécnico e do ensino Universitário;https://dre.pt/application/file/222287;;

DL;;403/86;1986/03/12;Aprova o Código do Registo Comercial;https://dre.pt/application/file/221460;;

DL;;299/86;1986/19/09;Estabelece incentivos às entidades patronais, mediante desagravamento contributivo, para facilitar a integração dos deficientes no mundo do trabalho;https://dre.pt/application/conteudo/222017;;

Lei;;35/86;1986/04/09;Tribunais marítimos;https://dre.pt/application/file/220039;;

Lei;;44/86;1984/30/09;Regime do estado de sítio e do estado de emergência, alterada pela Lei Orgânica 1/2012;https://dre.pt/application/dir/pdf1s/1986/09/22500/27792783.pdf;;

Lei;;46/86;1986/14/10;Lei de Bases do Sistema Educativo;https://dre.pt/pdf1sdip/1986/10/23700/30673081.pdf;;

Lei;;47/86;1986/15/10;Lei Orgânica do Ministério Público;https://dre.pt/application/file/222365;;

DL;;78/87;1987/17/02;Aprova o Código do Processo Penal. Revoga o Decreto-Lei n.º 16489, de 15 de Fevereiro de 1929;https://dre.pt/application/file/662662;;

DL;;387-A/87;1987/29/12;Aprova o novo regime de júri em processo penal;https://dre.pt/application/file/670166;;

DL;;387-B/87;1987/29/12;Estabelece o regime de acesso ao direito e aos tribunais;https://dre.pt/application/file/670167;;

DL;;387-E/87;1987/29/12;Altera o processamento das transgressões e contravenções e dá nova redacção a alguns artigos do Decreto-Lei n.º 78/87, de 17 de Fevereiro (aprova o Código de Processo Penal);https://dre.pt/application/file/670381;;

Decreto Regulamentar;;43/87;1987/17/07;Define as medidas nacionais de conservação dos recursos biológicos aplicáveis ao exercício da pesca em águas, quer oceânicas, quer interiores, sob soberania e jurisdição portuguesas;https://dre.pt/application/file/a/420508;;

Lei;;6/87;1987/06/01;Alarga o processo de formação em serviço dos docentes dos ensinos preparatório e secundário das escolas públicas aos docentes das escolas de ensino particular e cooperativo para efeitos de profissionalização;https://dre.pt/application/file/599670;;

Decreto Legislativo Regional ;;10/87/A;1987/24/06;Aplica aos titulares dos cargos políticos da Região o disposto na Lei n.º 4/85, de 9 de Abril;https://dre.pt/application/conteudo/419650;;

Lei;;14/87;1987/29/04;Lei Eleitoral para o Parlamento Europeu;https://dre.pt/application/file/a/530519;;

Lei;;11/87;1987/07/04;Lei de Bases do Ambiente;http://dre.pt/pdf1sdip/1987/04/08100/13861397.pdf;;

Lei;;29/87;1987/30/06;Estatuto dos eleitos locais;https://dre.pt/application/file/a/419503;;

Resolução do Conselho de Ministros;;34/87;1987/08/07;Aprova o esquema tipo de planos e relatórios anuais dos serviços e organismos da Administração Pública central;https://dre.pt/application/file/420119;;

DL;;106/88;1988/31/03;Aprova o Estatuto da Imprensa Regional;https://dre.pt/application/file/286210;;

DL;;272/88;1988/03/08;Equiparação a bolseiro de funcionários e agentes da Administração Pública;https://dre.pt/application/file/378061;;

DL;;442-A/88;1988/30/11;Aprova o Código do Imposto sobre o Rendimento das Pessoas Singulares (IRS);https://dre.pt/application/file/518927;;

DL;;442-B/88;1988/30/11;Aprova o Código do Imposto sobre o Rendimento das Pessoas Colectivas (IRC);https://dre.pt/application/file/518927;;

DL;;447/88;1988/10/12;Regula a pré-arquivagem de documentação. Revoga o Decreto-Lei n.º 29/72, de 24 de Janeiro;https://dre.pt/application/file/356586;;

DL;;453/88;1988/13/12;Revê o regime jurídico do Fundo de Regularização da Dívida Pública;https://dre.pt/application/file/356639;;

Lei;;97/88;1988/17/08;Afixação e inscrição de mensagens de publicidade e propaganda;http://dre.pt/pdf1sdip/1988/08/18900/33963398.pdf;;

Resolução do Conselho de Ministros;;50/88;1988/03/12;Aprova as instruções sobre a segurança de matérias classificadas (SEGNAC);https://dre.pt/application/file/357047;;

Despacho Normativo;;96/89;1989/21/10;Estabelece as Normas Reguladoras das Condições de Instalação e Funcionamento dos Centros de atividades de Tempos Livres com Fins Lucrativos;http://dre.pt/pdf1sdip/1989/10/24300/46494651.pdf;;

DL;;48/89;1989/22/02;Disciplina a alienação de material de guerra pelas Forças Armadas;https://dre.pt/application/file/a/612332;;

DL;;64/89;1989/25/02;Estabelece o regime de contraordenação no sistema de segurança social;http://dre.pt/pdf1sdip/1989/02/04700/08410845.pdf;;

DL;;139/89;1989/28/04;Altera o Decreto-Lei n.º 357/75, de 8 de Julho, relativo à proteção ao relevo natural, solo arável e revestimento vegetal;https://dre.pt/pdf1sdip/1989/04/09800/17811782.pdf;;

DL;;215/89;1989/01/07;Aprova o Estatuto dos Benefícios Fiscais;https://dre.pt/application/file/620846;;

DL;;282/89;1989/23/08;Regula a concessão de equiparação a bolseiro fora do País;https://dre.pt/application/file/618427;;

DL;;286/89;1989/29/08;Aprova os planos curriculares dos ensinos básico e secundário;https://dre.pt/application/file/618228;;

DL;;422/89;1989/02/12;Reformula a Lei do Jogo;https://dre.pt/application/file/a/550739;;

Resolução da Assembleia da República;;23/89;1989/21/08;Aprova, para ratificação, a Convenção Europeia de Extradição, assinada em Estrasburgo em 27 de Abril de 1977, e os seus dois Protocolos Adicionais, assinados em Estrasburgo em 27 de Abril de 1977 e em 27 de Abril de 1978;https://dre.pt/application/file/618463;;

Resolução do Conselho de Ministros;;37/89;1989/24/10;Aprova as normas para a segurança nacional, salvaguarda e defesa das matérias classificadas, segurança industrial, tecnológica e de investigação - SEGNAC 2;https://dre.pt/application/file/549331;;

Decreto Regulamentar;;2/90;1990/12/01;Estabelece o regime das reintegrações e amortizações para efeitos do Imposto Sobre o Rendimento das Pessoas Colectiva;https://dre.pt/application/file/333709;;

Decreto Regulamentar;;41/90;1990/29/11;Regulamenta a composição, a competência e o fucionamento da junta médica da ADSE;http://dre.pt/pdf1sdip/1990/11/27600/49024905.pdf;;

DL;;213/90;1990/28/06;Estabelece o regime jurídico do direito de obtentor de variedades vegetais ;https://dre.pt/application/file/a/575409;;

DL;;291/90;1990/20/09;Estabelece o regime de controlo metrológico de métodos e instrumentos de medição;https://dre.pt/application/file/a/557502;;

DL;;322/90;1990/18/10;Define e regulamenta a proteção na eventualidade da morte dos beneficiários do regime geral de segurança social (revoga a secção VII do capítulo V do Decreto n.º 45266, de 23-09-1963, e o Regulamento Especial do Regime de Pensões de Sobrevivência, públicado no Diário do Governo, 2.ª série, n.º 21, de 26 de Janeiro de 1971);https://dre.pt/application/file/565490;;

DL;;324/90;1990/19/10;Altera o Decreto-Lei n.º 453/88, de 13 de Dezembro (Fundo de Regularização da Dívida Pública);https://dre.pt/application/file/565508;;

DL;;330/90;1990/23/10;Aprova o Código da Publicidade;https://dre.pt/pdf1sdip/1990/10/24500/43534357.pdf;;

DL;;327/90;1990/22/10;Regula a ocupação do solo objecto de um incêndio florestal;https://dre.pt/web/guest/pesquisa/-/search/565445/details/normal?q=Decreto-Lei+n.%C2%BA%20327%2F90;;

DL;;335/90;1990/29/10;Reconhecimento, no âmbito do sistema de segurança social português, dos períodos contributivos verificados nas caixas de previdência de inscrição obrigatória dos territórios das ex-colónias portuguesas;https://dre.pt/application/file/565910;;

Lei;;7/90;1990/20/02;Regulamento disciplinar da Polícia de Segurança Pública;https://dre.pt/application/file/a/332984;;

Lei;;10/90;1990/17/03;Lei de Bases do Sistema de Transportes Terrestres;http://dre.pt/pdf1sdip/1990/03/06400/13061314.pdf;;

Lei;;48/90;1990/24/08;Lei de Bases da Saúde;https://dre.pt/application/file/574059;;

Portaria;;940/90 ;1990/04/10;Aprova o Regulamento sobre a Protecção das Obtenções Vegetais, anexo à presente portaria e que dela faz parte integrante ;https://dre.pt/application/file/a/555731;;

Resolução da Assembleia da República;; 28/90;1990/23/10;Aprova para ratificação a Carta Europeia de Autonomia Local, concluída em Estrasburgo, a 15 de Outubro;https://dre.pt/application/file/a/565346;;

Resolução do Conselho de Ministros;;5/90;1990/28/02;Aprova as instruções sobre a segurança informática (SEGNAC 4);https://dre.pt/application/file/307523;;

Decisão;CEE;315/91;1991/26/06;Decisão do Conselho que institui um programa de opções específicas para fazer face ao afastamento e à insularidade da Madeira e dos Açores (Poseima);http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:31991D0315&qid=1507732770757&from=EN;;

Despacho;;7/SESS/1991;1991/24/01;Estabelece orientações e regras que visam facilitar a aplicação, de forma harmonizada, do DL 322/90, de 18-10, que reformulou globalmente as prestações por morte no âmbito dos regimes de segurança social;http://www.seg-social.pt/documents/10152/1933503/Desp_7_SESS_91/fdbc91e0-148c-4cef-a121-98bdd21f5151?version=1.0;;

DL;;125/91;1991/21/03;Estabelece a obrigatoriedade de regularização contributiva para a exoneração de contribuições à Segurança Social pelos empregadores de jovens em situação de primeiro emprego ou de deficientes. Altera os Decretos-Leis n.os 257/86 e 299/86, de 27 de Agosto e de 19 de Setembro, respectivamente;https://data.dre.pt/eli/dec-lei/125/1991/03/21/p/dre/pt/html;;

DL;;175/91;1991/05/11;Estabelece o novo regime de realização de exames de condução de veículos automóveis;https://dre.pt/application/file/a/611237;;

DL;;404/91;1991/16/10;"Estabelece o novo regime jurídico do trabalho em comissão de
serviço";http://dre.pt/pdf1sdip/1991/10/238A00/53865387.pdf;;

DL;;438/91;1991/09/11;Aprova o Código das Expropriações;https://dre.pt/pdf1sdip/1991/11/258A00/57465758.pdf;;

DL;;441/91;1991/14/11;Estabelece o regime jurídico do enquadramento da segurança, higiene e saúde no trabalho;https://dre.pt/application/file/316810;;

DL;;442/91;1991/15/11;Aprova o Código de Procedimento Administrativo;https://dre.pt/application/file/317017;;

DL;;448/91;1991/29/11;Aprova o regime jurídico dos loteamentos urbanos. Revoga o Decreto-Lei n.º 400/84, de 31 de Dezembro;https://dre.pt/application/file/308803;;

Lei;;9/91;1991/09/04;Estatuto do Provedor de Justiça;https://dre.pt/application/conteudo/614291;;

Lei;;13/91;1991/05/06;Estatuto Político-Administrativo da Região Autónoma da Madeira;https://dre.pt/application/file/a/629574;;

Lei;;53/91;1991/26/01;Procede à abolição do registo e da taxa de televisão. Altera o Estatuto da RTP, E. P., aprovado pelo Decreto-Lei n.º 321/80, de 22 de Agosto, e revoga os Decretos-Leis n.os 401/79 e 38/88, respetivamente de 21 de Setembro e de 6 de Fevereiro;https://dre.pt/application/file/508174;;

Lei;;43/91;1991/27/07;Lei Quadro do Planeamento;http://dre.pt/pdf1sdip/1991/07/171A00/37333734.pdf;;

Lei;;108/91;1991/17/08;Cria o Conselho Económico e Social;https://dre.pt/pdf1sdip/1991/08/188A00/41994202.pdf;;

Lei;;114/91;1991/03/09;Altera o Código do Direito de Autor e dos Direitos Conexos;https://dre.pt/application/file/305348;;

Despacho Normativo;;75/92;1992/20/05;Estabelece normas reguladoras de cooperação entre os centros regionais de segurança social e as instituições particulares de solidariedade social. Revoga os Despachos Normativos n.os 12/88, de 12 de Março, e 118/84, de 8 de Junho;https://dre.pt/application/file/523116;;

DL;;90/92;1992/21/05;Regulamento o funcionamento do Conselho Económico e Social;https://dre.pt/pdf1sdip/1992/05/117A00/23852389.pdf;;

DL;;121/92;1992/02/07;Estabelece os princípios de gestão de documentos relativos a recursos humanos, recursos financeiros e recursos patrimoniais dos serviços da administração direta e indireta do Estado;https://dre.pt/application/file/291744;;

DL;;155/92;1992/28/07;Estabelece o regime da administração financeira do Estado;https://dre.pt/application/file/275522;;

DL;;177/92;1992/13/08;Estabelece o regime de prestação de assistência médica no estrangeiro aos beneficiários do Serviço Nacional de Saúde;https://dre.pt/application/file/283201;;

DL;;258/92;1992/20/11;Estabelece normas relativas ao processo de implantação de grandes superfícies comerciais;http://dre.pt/pdf1sdip/1992/11/269A00/53545358.pdf;;

Lei;;7/92;1992/12/05;ei sobre Objecção de Consciência;https://dre.pt/application/file/527144;;

Lei;;223/92;1992/20/10;Altera o Decreto-Lei n.º 48/89, de 22 de Fevereiro (disciplina a alienação de material de guerra pelas Forças Armadas);https://dre.pt/application/file/a/220674;;

Portaria;;1005/92;1992/23/10;Aprova as normas técnicas de proteção dos animais utilizados para fins experimentais e outros fins científicos;https://dre.pt/application/file/220417;;

Regulamento;CE;178/2002;2002/28/01;"Determina os princípios e normas gerais da legislação alimentar, cria a Autoridade Europeia
para a Segurança dos Alimentos e estabelece procedimentos em matéria de segurança dos géneros
alimentícios";https://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32002R0178&from=PT;;

Regulamento;CEE;2913/92;1992/12/10;Estabelece o Código Aduaneiro Comunitário (CAC);http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=CELEX:31992R2913;;

Decreto do Presidente da República;;55/93;1993/25/11;Ratifica o Protocolo de Adesão ao Acordo Relativo à Supressão Gradual dos Controlos nas Fronteiras Comuns, assinado em Schengen a 14 de Junho de 1985, e o Acordo de Adesão à Convenção de Aplicação do Acordo de Schengen de 14 de Junho de 1985, assinada em Schengen em 19 de Junho de 1990;https://dre.pt/application/file/a/682371 ;;

DL;;15/93;1993/22/01;Legislação de combate à droga;https://dre.pt/application/file/585108;;

DL;;16/93;1993/23/01;Estabelece o regime geral dos arquivos e do património arquivístico;https://dre.pt/pdf1sdip/1993/01/019A00/02640270.pdf;;

DL;;234/93;1993/02/07;Estabelece o Sistema Português da Qualidade;http://dre.pt/pdf1sdip/1993/07/153A00/36403645.pdf;;

DL;;236/93;1993/03/07;Altera o Decreto-Lei n.º 453/88, de 13 de Dezembro (revê o regime jurídico do Fundo de Regularização da Dívida Pública);https://dre.pt/application/file/373536;;

DL;;355/93;1993/09/10;Estabelece o regime de fixação da lotação de segurança das embarcações nacionais;https://dre.pt/application/file/a/669900;;

DL;;383/93;1993/18/11;Estabelece os requisitos a que devem obedecer o fabrico, a comercialização e a colocação em serviço dos instrumentos de pesagem de funcionamento não automático;https://dre.pt/application/file/a/676516;;

Portaria;;286/93;1993/03/12;Fixa os valores limites e os valores guias no ambiente para o dióxido de enxofre, partículas em suspensão, dióxido de azoto e monóxido de carbono;https://dre.pt/application/file/634817;;

Regulamento;CPCS;1993;1993/31/08;"Regulamento Interno da Comissão Permanente de Concertação Social (CPCS); Diário da República n.º 204/1993, 3º Suplemento, Série II de 1993-08-31";http://www.ces.pt/storage/app/uploads/public/58b/f3b/d54/58bf3bd54d891775689825.pdf;;

Diretiva;CE;109/1993;1993/06/12;Diretiva do Conselho - Estabelece o sistema de exercício do direito de voto e de elegibilidade nas eleições para o Parlamento Europeu dos cidadãos da União residentes num Estado-membro de que não tenham a nacionalidade;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:31993L0109&from=PT;;

Regulamento;CEE;2454/93;1993/02/07;Fixa determinadas disposições de aplicação do Regulamento (CEE) n° 2913/92 do Conselho que estabelece o Código Aduaneiro Comunitário;http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=celex%3A31993R2454;;

Resolução do Conselho de Ministros;;13/93;1993/06/03;Altera as instruções para a segurança nacional, salvaguarda e defesa das matérias classificadas (SEGNAC 1), aprovadas pela Resolução do Conselho de Ministros n.º 50/88, de 3 de Dezembro;https://dre.pt/application/file/629052;;

