Estado;Código;Título;Descrição;Notas de aplicação;Exemplos de NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do PCA;Destino final;Justificação DF;Notas

;100.10.200;Produção e comunicação de atos regulamentares gerais;"Elaboração e formalização de regulamentos gerais, que se destinam a vigorar em todo o território nacional, em todo o território do continente ou em todo o território de uma região autónoma.
Inicia com a apresentação do projeto de regulamentação da lei, de criação de regulamento independente ou autónomo destinado à boa execução das leis, ou de alteração de regulamentos existentes e termina com a aprovação final ou ratificação pelos órgãos competentes e consequente publicitação.
Inclui verificação jurídica e apreciação.";"Atos regulamentares da competência do governo, mesmo quando tenham por objeto uma área geográfica determinada#
Decretos regulamentares#
Decretos regulamentares regionais#
Portarias#
Resoluções do Conselho de Ministros#
Despachos normativos#";"Decreto Regulamentar que aprova o Plano da Bacia Hidrográfica do Guadiana#
Decreto Regulamentar que classifica como monumento natural as Portas de Rodão#";"Os regulamentos municipais de aplicação à respetiva circunscrição territorial deverão ser considerados em 100.10.400 – Produção e comunicação de atos regulamentares locais#
Os regulamentos de funcionamento dos serviços devem ser considerados em 100.10.600 – Produção e comunicação de regras institucionais#
Os procedimentos administrativos, trabalhos preparatórios ou elaboração de estudos preliminares, por exemplo quando a regulamentação seja necessária para dar forma legal a instrumentos de planeamento, devem ser considerados em “Planeamento e gestão estratégica/Definição e avaliação de políticas” (150.10)#";"Lei Constitucional 1/2005#
Resolução do Conselho de Ministros 51/2013#
Resolução do Conselho de Ministros 23/2016#
Lei 43/2014#
Lei 4/98#";PC;S;"Gov#
GovReg-A#
GovReg-M#";"JurisAPP#
SGPCM#
AP#
INCM#
INFARMED#";"Assessorar#
Assessorar#
Assessorar#
Comunicar#
Assessorar#";"100.10.001#
100.10.400#
100.10.600#
100.20.001#
100.20.200#
150.10.001#
150.10.100#
150.10.200#
150.10.600#
150.10.700#
900.20.201#
";"Produção e comunicação de atos legislativos#
Produção e comunicação de atos regulamentares locais#
Produção e comunicação de regras institucionais#
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos#
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos#
Definição de políticas globais#
Definição de políticas setoriais#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional#
Avaliação de políticas e instrumentos de operacionalização#
Reunião de órgãos deliberativos#
Edição e publicação de conteúdos#
";"Complementar#
Complementar#
Complementar#
Complementar#
Complementar#
Sucessão (sucessor)#
Sucessão (sucessor)#
Complementar#
Complementar#
Cruzada#
Sucessão (antecessor)#
";Elevada;S;5;;"#Critério gestionário:
Prazo para imputação de responsabilidade pela gestão estratégica, decorrente de escrutínio público (eleições).
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar de:
PN 100.10.001 - Produção e comunicação de atos legislativos;
PN 100.10.400 - Produção e comunicação de atos regulamentares locais;
PN 100.10.600 - Produção e comunicação de regras institucionais;
PN 100.20.001 - Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;
PN 100.20.200 - Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;
PN 150.10.200 - Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito nacional;
PN 150.10.600Avaliação de políticas e instrumentos de operacionalização.

O texto final é publicitado no Diário da República.";

;100.10.400;Produção e comunicação de atos regulamentares locais;"Elaboração e formalização de atos regulamentares que têm o seu domínio de aplicação limitado ao território sob a jurisdição de uma autarquia local.
Inicia com a apresentação do projeto de regulamento ou de atualização de regulamento e termina com a aprovação pelos órgãos territorialmente competentes, eventual ratificação, e consequente publicitação.
Inclui verificação jurídica e apreciação.

";"Atos regulamentares da competência dos órgãos autárquicos, mesmo quando necessitam de ratificação do Governo# 
Depósito do diploma em entidade designada#
Posturas e regulamentos municipais que não tenham incidência sobre o funcionamento dos serviços dependentes da autarquia#";"Plano Diretor Municipal#
Regulamento Municipal de Toponímia e Numeração de Polícia#
Regulamento de Horários de Funcionamento dos Estabelecimentos Comerciais na área do Município#
Regulamento Municipal de Publicidade#
Plano de Circulação do Município#";"Os regulamentos de funcionamento dos serviços devem ser considerados em 100.10.600 – Produção e comunicação de regras institucionais#
Os procedimentos administrativos, trabalhos preparatórios ou elaboração de estudos preliminares, por exemplo quando a regulamentação seja necessária para dar forma legal a instrumentos de planeamento, devem ser considerados em “Planeamento e gestão estratégica /Definição e avaliação de políticas” (150.10)#";"Lei 169/99#
DL 442/91#";PE;S;AL#;"JurisAPP#
SGPCM#
INCM#";"Assessorar#
Assessorar#
Comunicar#";"100.10.001#
100.10.200#
100.10.600#
100.20.001#
100.20.200#
150.10.400#
150.10.700#
150.10.701#
900.20.201#";"Produção e comunicação de atos legislativos#
Produção e comunicação de atos regulamentares gerais#
Produção e comunicação de regras institucionais#
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos#
Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos#
Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Edição e publicação de conteúdos#";"Complementar#
Complementar#
Complementar#
Complementar#
Complementar#
Complementar#
Cruzada#
Cruzada#
Sucessão (antecessor)#";Média;S;5;;"#Critério gestionário:
Prazo para imputação de responsabilidade pela gestão estratégica, decorrente de escrutínio público (eleições).
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar dos
PN 100.10.001 - Produção e comunicação de atos legislativos;
PN 100.10.200 - Produção e comunicação de atos regulamentares gerais;
PN 100.10.600 - Produção e comunicação de regras institucionais;
PN 100.20.001 - Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;
PN 100.20.200 - Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;
PN 150.10.400 - Elaboração de instrumentos de ordenamento territorial e da promoção do desenvolvimento de âmbito municipal e intermunicipal.

O texto final é publicitado no Diário da República.";

;100.10.600;Produção e comunicação de regras institucionais;"Elaboração e formalização de atos regrantes do funcionamento de uma instituição.
Inicia com a apresentação do projeto de regra, quando houver lugar ao mesmo, e termina com a sua publicitação ou comunicação direta aos visados.
Inclui verificação jurídica e apreciação.





";"Atos administrativos individuais que alteram os termos de aplicação de lei ou regulamento vigente#
Atos regulamentares relativos ao funcionamento de uma instituição, independentemente de ser da competência da própria instituição ou de membro(s) do Governo#
Regulamentos#
Despachos#
Ordens de serviço#
";"Despacho de delegação de competências#
Regimentos da Assembleia da República, do Conselho de Estado e das Assembleias Legislativas das Regiões Autónomas#
Regimentos de órgãos colegiais#
Regulamento municipal da Biblioteca#
Regulamento de taxas municipais#
Diplomas que regulamentam a lei orgânica (Estatutos, Decreto Regulamentar, portaria ou despacho de organização dos serviços)#
Regulamentos de horário de funcionamento#
Regulamentos relativos a relações de trabalho: horários de trabalho, contratação de docentes convidados, procedimentos concursais, avaliação de docentes, acumulação de funções#
Regulamentos relativos a serviços#
Regulamentos relativos à área académica: acesso e ingresso no ensino superior, avaliação de conhecimentos e aproveitamento, faltas, vigilância de provas, estatutos especiais, emolumentos, propinas, estágio, creditação, estudante internacional#
Regulamentos relativos a concursos/prémios#";"A preparação das regras e orientações internas deve ser consideradas em 150.20.001 - Preparação de regras e orientações internas#
Os projetos de reengenharia de processos, simplificação de procedimentos, ou melhoria no funcionamento dos serviços, devem ser considerados em 150.20.500 – Análise e melhoria de processos ou 150.20.501 - Análise e melhoria de serviços#
As nomeações devem ser consideradas em 250.10.400 – Nomeação para comando, direção ou chefia, ou 250.10.401 – Nomeação para postos de trabalho (exemplos: nomeação de embaixadores, chefe de estado das forças armadas, diretores-gerais, diretores de serviço, trabalhadores, funcionários públicos)#
Os trabalhos preparatórios ou estudos preliminares quando integram processo específico, como por exemplo os desenvolvidos no âmbito da definição do sistema de qualidade#
Os avisos que não incidem sobre a publicitação das regras de funcionamento devem ser considerados na área correspondente, por exemplo, um aviso para abertura de concurso de pessoal deve ser considerado no respetivo processo em “Administração das relações de trabalho/ Estabelecimento e cessação de relações de trabalho” (250.10)#";"Lei Constitucional 1/2005#
DL 4/2015#
DL 5/2012#
Lei 62/2007#";PC;S;"AP#
Grupo IP#
INFARMED#";"AP#
AP#
INFARMED#";"Decidir#
Apreciar#
Apreciar#";"100.10.001#
100.10.200#
100.10.400#
100.20.001#
150.10.700#
150.10.701#
150.20.001#
150.20.500#
150.20.501#
250.30.001#
900.20.201#";"Produção e comunicação de atos legislativos#
Produção e comunicação de atos regulamentares gerais#
Produção e comunicação de atos regulamentares locais#
Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Preparação de regras e orientações internas#
Análise e melhoria de processos#
Análise e melhoria de serviços#
Negociação de convenções coletivas de trabalho#
Edição e publicação de conteúdos#";"Complementar#
Complementar#
Complementar#
Complementar#
Cruzada#
Cruzada#
Síntese (sintetiza)#
Síntese (sintetiza)#
Complementar#
Complementar#
Sucessão (antecessor)#";Elevada;S;5;;"#Critério gestionário:
Prazo para imputação de responsabilidade pela gestão estratégica, decorrente de escrutínio público (eleições).
Considerou-se para a definição do prazo o tempo do mandato de maior duração: 5 anos.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar dos
PN 100.10.001 - Produção e comunicação de atos legislativos;
PN 100.10.200 - Produção e comunicação de atos regulamentares gerais;
PN 100.10.400 - Produção e comunicação de atos regulamentares locais;
PN 100.20.001 - Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;
PN 150.20.501 - Análise e melhoria de serviços;
PN 250.30.001 - Negociação de convenções coletivas de trabalho.

O texto final é publicitado.

#Critério de densidade informacional: 
Sintetiza a informação dos  
PN 150.20.001 - Preparação de regras e orientações internas;
PN 150.20.500 - Análise e melhoria de processos.";

;100.10.800;Produção e comunicação de normas técnicas;"Elaboração (formalização e estabelecimento de  prescrições) de  disposições destinadas à utilização comum e repetida, visando a obtenção de normas técnicas, ações e procedimentos normalizados num dado contexto, podendo revestir a forma de norma padrão (standard), isto é norma técnica que foi adotada ""de facto"", sem necessariamente ter havido uma ratificação formal, ou de norma produzida por um órgão oficialmente acreditado para tal (norma ""de jure"").
Inicia com a identificação da necessidade (da norma técnica) do documento normativo e termina com o envio para publicação e publicitação.
Inclui  elaboração de pareceres  técnicos especializados na área, redação dos documentos, traduções técnicas e elaboração de projetos de documentos normativos, com consulta nacional e europeia incluindo  consulta às entidades reguladoras, análise dos contributos recebidos, elaboração/redação final do  documento normativo.";"Documentos normativos, editados  pelo Organismo Nacional de Normalização#
Documentos normativos, editados por Organismos Europeus ou Internacionais de Normalização#
Documentos normativos elaborados por Organismos de Normalização Setorial#
Documentos normativos elaborados por Organismos Gestores de Comissão Técnica e por Comissões Técnicas (Qualificados pelo IPQ)#
Normas técnicas de iniciativa institucional#";Normas STANAG#;;"DL 71/2012#
Portaria 23/2013#";PC;S;"IPQ#
AP#
IMT#
INFARMED#";"AP#
ONS#
OGCT#
CT#
Grupo IP#
INFARMED#";"Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#
Assessorar#";"100.20.400#
150.10.700#
150.10.701#
900.20.201#";"Produção de orientações e pareceres para a interpretação da norma técnica#
Reunião de órgãos deliberativos#
Reunião de órgãos executivos#
Edição e publicação de conteúdos#";"Complementar#
Cruzada#
Cruzada#
Sucessão (antecessor)#";Média;S;5;;"#Critério legal:
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.

Os intervenientes na elaboração da norma podem ser objeto de sanções, caso este apresente incorreções que ponham em causa a sua boa aplicação.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar do
PN 100.20.400 - Produção de orientações e pareceres para a interpretação da norma técnica.

O texto final é publicitado.";"o IPQ é dono dos PN relativos a Documentos normativos de carater global.
A AP é dona dos documentos normativos de iniciativa institucional."

;100.20;Interpretação da legislação e das normas;"Compreende os processos de assessoria/consulta jurídico-normativa e técnico-normativa, solicitada ou prestada por serviços próprios ou externos à Administração, quando não integrados em processos específicos de que sejam parte indissociável.
Compreende, igualmente, os acórdãos de uniformização de jurisprudência emitidos pelos tribunais.";Os pareceres, obrigatórios ou facultativos, que fundamentem a evolução de um qualquer caso/processo devem ser considerados no processo a que respeitam (por exemplo, processos de elaboração de diplomas legais, processos de auditoria, processos judiciais)#;;;;;;;;;;;;;;;;;;;;

;100.20.001;Produção de pareceres técnico-jurídicos de interpretação de diplomas jurídico-normativos;"Elaboração de parecer de interpretação de diplomas jurídico-normativos de forma abstrata e geral, podendo ser válida para a decisão de casos concretos.
Inicia com o pedido e termina com a entrega do parecer técnico-jurídico.
Inclui trabalhos de consulta de elementos e fundamentação do parecer.";"Produção de pareceres emitidos pelas entidades reguladoras para esclarecimento do sentido da lei#
Emissão de informações vinculativas#";;Os pareceres elaborados no âmbito de processos específicos relativos ao apoio à decisão individual e concreta devem ser considerados nos respetivos processos#;"DL 47344/66#
DL 433/99#
DL 398/98#
Lei 30/2017#
Portaria 972/2009#";PC;S;"AP#
INFARMED#";"AP#
INFARMED#";"Iniciar#
Iniciar#";"100.10.001#
100.10.200#
100.10.400#";"Produção e comunicação de atos legislativos#
Produção e comunicação de atos regulamentares gerais#
Produção e comunicação de atos regulamentares locais#";"Complementar#
Complementar#
Complementar#";Reduzida;N;5;;"#Critério legal:
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.

Os intervenientes na elaboração do parecer podem ser objeto de sanções, caso este apresente incorreções que ponham em causa a boa aplicação da norma.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar do PN 100.10 que visa esclarecer:
PN 100.10.001 - Produção e comunicação de atos legislativos;
PN 100.10.200 - Produção e comunicação de atos regulamentares gerais;
PN 100.10.400 - Produção e comunicação de atos regulamentares locais.";

;100.20.200;Produção e comunicação de instruções para aplicação de diplomas jurídico-normativos;"Elaboração e divulgação de instruções gerais, emitidas por entidades de coordenação setorial acerca do sentido como devem ser entendidas determinadas normas ou princípios jurídicos, que a essas entidades cabe interpretar ou integrar.
Inicia com a identificação da necessidade de emissão de instruções para aplicação de normas e termina com a comunicação aos órgãos e agentes responsáveis pela aplicação das instruções.
Inclui, quando devido, elaboração de diversos esquemas sintetizadores para mais fácil apreensão das regras instituídas e elaboração de orientações práticas para a aplicação da regra.";"Circulares interpretativas#
Instruções administrativas emanadas das entidades competentes#
";Pauta de serviço (Pauta Aduaneira)#;Devem ser excluídos pareceres efetuados pelos serviços ou solicitados a entidades externas sobre a aplicação genérica da norma jurídica e pedidos de interpretação de casos concretos, os quais devem ser considerados no âmbito dos processos específicos a que dizem respeito#;;PC;S;"AP#
INFARMED#";"AP#
INFARMED#";"Assessorar#
Assessorar#";"100.10.001#
100.10.200#
100.10.400#";"Produção e comunicação de atos legislativos#
Produção e comunicação de atos regulamentares gerais#
Produção e comunicação de atos regulamentares locais#";"Complementar#
Complementar#
Complementar#";Média;S;5;;"#Critério legal:
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.

Os intervenientes na elaboração do parecer podem ser objeto de sanções, caso este apresente incorreções que ponham em causa a boa aplicação da norma.";Data de conclusão do procedimento;C;"#Critério de complementaridade informacional:
É complementar do PN 100.10 que visa esclarecer:
PN 100.10.001 - Produção e comunicação de atos legislativos;
PN 100.10.200 - Produção e comunicação de atos regulamentares gerais;
PN 100.10.400 - Produção e comunicação de atos regulamentares locais.";

